                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98208,                0.52496,                0.91947,                0.80541,                0.57011,                0.64601,                0.36394,                  1.197,                0.65006,                 1.0116,              0.0011059,              0.0011059,              0.0011059
                     36,                0.95583,                0.51108,                0.90979,                0.81701,                0.58408,                0.64154,                  0.357,                 1.1991,                0.64195,                 1.0173,              0.0010894,              0.0010894,              0.0010894
                     37,                0.93846,                0.51016,                0.90874,                0.76733,                0.58093,                0.64513,                0.36541,                 1.2079,                0.62008,                 1.0255,              0.0010729,              0.0010729,              0.0010729
                     38,                0.93316,                0.50435,                0.90327,                0.79753,                0.54955,                0.61868,                0.34947,                 1.2083,                0.65699,                 1.0188,              0.0010564,              0.0010564,              0.0010564
                     39,                0.97723,                0.52255,                0.91465,                0.80316,                0.57818,                0.64095,                0.36364,                 1.1963,                0.63006,                 1.0184,              0.0010399,              0.0010399,              0.0010399
                     40,                0.93592,                0.50572,                0.90009,                0.79728,                0.59222,                0.65195,                0.37491,                 1.1612,                0.61833,                  1.012,              0.0010234,              0.0010234,              0.0010234
                     41,                0.91753,                0.49187,                0.90116,                0.75093,                0.58487,                 0.6332,                0.35765,                  1.175,                0.63607,                 1.0104,              0.0010069,              0.0010069,              0.0010069
                     42,                0.93736,                0.50169,                0.90153,                0.82361,                0.56954,                0.65103,                0.37557,                 1.1588,                0.61191,                 1.0028,             0.00099036,             0.00099036,             0.00099036
                     43,                 0.9409,                0.50167,                0.90611,                0.79734,                0.56674,                 0.6398,                 0.3711,                  1.165,                0.63163,                 1.0062,             0.00097386,             0.00097386,             0.00097386
                     44,                0.93709,                0.49423,                0.90242,                0.75743,                0.55635,                0.62104,                0.35105,                 1.2152,                0.62201,                 1.0257,             0.00095736,             0.00095736,             0.00095736
                     45,                0.88921,                0.47865,                0.89576,                0.81358,                0.57657,                0.64851,                0.37337,                   1.16,                0.60153,                 1.0131,             0.00094085,             0.00094085,             0.00094085
                     46,                0.87311,                0.46689,                0.88689,                0.81768,                0.57616,                0.65757,                0.37794,                 1.1693,                0.61598,                 1.0234,             0.00092435,             0.00092435,             0.00092435
                     47,                0.88716,                0.47048,                0.89449,                 0.8233,                0.56564,                0.65555,                0.37799,                 1.1768,                0.60013,                 1.0143,             0.00090785,             0.00090785,             0.00090785
                     48,                0.86441,                0.46341,                0.88579,                 0.8295,                  0.568,                0.65195,                0.37834,                 1.1436,                0.59705,                0.99645,             0.00089134,             0.00089134,             0.00089134
                     49,                0.87909,                0.46558,                0.88944,                0.82223,                0.54315,                   0.64,                0.36668,                 1.1643,                0.61537,                 1.0114,             0.00087484,             0.00087484,             0.00087484
                     50,                0.86981,                 0.4636,                0.89171,                0.83799,                  0.556,                0.65481,                0.37668,                 1.1528,                0.62038,                 1.0142,             0.00085834,             0.00085834,             0.00085834
                     51,                0.86276,                0.45518,                0.88055,                0.83981,                0.57719,                0.67026,                0.38004,                 1.1491,                0.61012,                 1.0163,             0.00084184,             0.00084184,             0.00084184
                     52,                0.87303,                0.45579,                0.88623,                0.80396,                0.56129,                0.64272,                0.36267,                 1.1763,                0.59673,                 1.0224,             0.00082533,             0.00082533,             0.00082533
                     53,                0.84625,                 0.4457,                0.87861,                0.79029,                0.60786,                0.65788,                0.38027,                 1.1571,                0.58822,                 1.0083,             0.00080883,             0.00080883,             0.00080883
                     54,                0.83554,                0.44579,                0.87777,                0.82151,                 0.5882,                0.65842,                0.38016,                  1.157,                 0.5937,                 1.0105,             0.00079233,             0.00079233,             0.00079233
                     55,                0.85107,                 0.4472,                0.88121,                0.77629,                0.57679,                0.65641,                 0.3694,                 1.1954,                0.60863,                 1.0216,             0.00077582,             0.00077582,             0.00077582
                     56,                0.85358,                0.45408,                0.88535,                0.81796,                0.57105,                 0.6476,                0.36807,                 1.1784,                0.59816,                 1.0093,             0.00075932,             0.00075932,             0.00075932
                     57,                0.82744,                0.44182,                0.88257,                0.81644,                0.59862,                0.65549,                0.38601,                 1.1265,                0.59124,                0.99831,             0.00074282,             0.00074282,             0.00074282
                     58,                0.82594,                0.44054,                0.87924,                0.81363,                0.58925,                0.66389,                0.38966,                 1.1416,                0.57742,                 1.0071,             0.00072631,             0.00072631,             0.00072631
                     59,                0.83112,                0.44025,                0.87506,                0.83784,                0.59158,                 0.6682,                0.38975,                 1.1247,                0.57694,                 1.0038,             0.00070981,             0.00070981,             0.00070981
                     60,                0.80284,                0.43086,                0.87578,                0.81089,                 0.5867,                0.66411,                0.38977,                 1.1372,                0.58581,                 1.0036,             0.00069331,             0.00069331,             0.00069331
                     61,                0.82165,                0.43478,                0.87775,                 0.8158,                0.57462,                0.66108,                0.38016,                 1.1518,                 0.5799,                 1.0084,              0.0006768,              0.0006768,              0.0006768
                     62,                0.81084,                0.42585,                0.87085,                0.80297,                 0.5846,                0.65116,                 0.3737,                  1.158,                0.58424,                 1.0136,              0.0006603,              0.0006603,              0.0006603
                     63,                0.82908,                0.44173,                 0.8802,                0.84213,                0.56333,                0.65808,                0.37674,                 1.1455,                0.57536,                 1.0063,              0.0006438,              0.0006438,              0.0006438
                     64,                0.80611,                0.42655,                0.87999,                0.81054,                0.58562,                0.66137,                0.38031,                 1.1326,                0.55965,                 1.0132,             0.00062729,             0.00062729,             0.00062729
                     65,                0.80306,                 0.4235,                0.86857,                0.80484,                0.59501,                0.67367,                0.38707,                 1.1377,                0.57576,                  1.011,             0.00061079,             0.00061079,             0.00061079
                     66,                0.81404,                0.42496,                0.87041,                0.83269,                0.57748,                0.66799,                0.38734,                 1.1338,                0.57341,                 1.0071,             0.00059429,             0.00059429,             0.00059429
                     67,                0.77604,                0.41726,                0.87054,                0.85583,                 0.5862,                0.68374,                0.39626,                 1.1211,                0.56048,                  1.001,             0.00057778,             0.00057778,             0.00057778
                     68,                0.79207,                0.42077,                0.87176,                 0.8408,                0.58714,                0.67781,                0.39458,                  1.119,                0.55519,                 1.0068,             0.00056128,             0.00056128,             0.00056128
                     69,                0.78473,                0.41703,                 0.8628,                0.85314,                0.59297,                0.68387,                  0.397,                 1.1197,                0.56281,                 1.0078,             0.00054478,             0.00054478,             0.00054478
                     70,                0.78259,                0.41509,                0.86574,                0.83586,                0.60009,                0.68557,                0.40178,                  1.121,                0.55888,                 1.0071,             0.00052827,             0.00052827,             0.00052827
                     71,                0.77405,                0.40559,                0.85659,                0.83482,                0.59551,                0.67996,                0.39321,                 1.1313,                0.56652,                 1.0062,             0.00051177,             0.00051177,             0.00051177
                     72,                0.77316,                0.40689,                0.85784,                0.82157,                 0.5872,                0.67581,                0.39837,                 1.1204,                0.55693,                 1.0032,             0.00049527,             0.00049527,             0.00049527
                     73,                0.77082,                0.40371,                0.86116,                0.83572,                0.58381,                0.67474,                0.39524,                 1.1098,                0.55877,                 1.0023,             0.00047876,             0.00047876,             0.00047876
                     74,                0.74585,                0.39497,                0.85278,                0.82976,                 0.5754,                0.67195,                0.39711,                 1.1194,                0.56016,                 1.0021,             0.00046226,             0.00046226,             0.00046226
                     75,                0.75103,                0.39232,                0.85569,                 0.8211,                0.58719,                0.67676,                0.39427,                 1.1198,                0.55233,                0.99844,             0.00044576,             0.00044576,             0.00044576
                     76,                0.75849,                0.39476,                0.86394,                0.86274,                0.55224,                0.66502,                0.38681,                 1.1312,                0.57139,                 1.0045,             0.00042925,             0.00042925,             0.00042925
                     77,                0.72867,                0.38329,                0.85016,                0.82797,                0.58358,                0.68217,                0.40266,                 1.1203,                0.56162,                0.99795,             0.00041275,             0.00041275,             0.00041275
                     78,                0.73872,                0.39156,                0.85228,                0.83284,                0.60033,                0.69278,                0.40602,                 1.1205,                0.56247,                 1.0002,             0.00039625,             0.00039625,             0.00039625
                     79,                 0.7379,                0.38441,                0.85263,                0.83752,                 0.5915,                0.68292,                0.40546,                 1.1099,                0.55416,                      1,             0.00037974,             0.00037974,             0.00037974
                     80,                0.71931,                0.37713,                0.85166,                0.82544,                 0.5839,                0.68077,                0.40194,                 1.1159,                0.55718,                 1.0085,             0.00036324,             0.00036324,             0.00036324
                     81,                0.73205,                0.38498,                0.85406,                0.80854,                0.59449,                0.67134,                0.38721,                 1.1236,                0.57065,                 1.0058,             0.00034674,             0.00034674,             0.00034674
                     82,                0.73012,                0.37989,                0.85428,                0.82601,                0.60039,                0.68169,                0.40252,                 1.1171,                0.56251,                  1.008,             0.00033023,             0.00033023,             0.00033023
                     83,                0.71572,                0.37775,                0.85074,                 0.8304,                0.59908,                0.68107,                 0.4019,                 1.1199,                0.55454,                 1.0061,             0.00031373,             0.00031373,             0.00031373
                     84,                0.71565,                0.37582,                0.84778,                0.83639,                0.59652,                0.68714,                  0.403,                 1.1243,                0.55966,                 1.0072,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.7164,                0.37686,                0.85218,                0.82037,                0.59369,                0.68082,                0.39827,                  1.119,                0.55557,                 1.0078,             0.00028072,             0.00028072,             0.00028072
                     86,                0.69632,                0.37014,                0.85079,                0.79712,                0.61214,                  0.689,                0.40513,                 1.0998,                0.54658,                 1.0066,             0.00026422,             0.00026422,             0.00026422
                     87,                0.69891,                0.36796,                0.84577,                0.82595,                0.60309,                0.69056,                 0.4092,                 1.1031,                0.55305,                 1.0068,             0.00024772,             0.00024772,             0.00024772
                     88,                0.68036,                0.36044,                0.84698,                0.82201,                0.59924,                0.68646,                0.40431,                 1.1067,                0.55099,                 1.0064,             0.00023121,             0.00023121,             0.00023121
                     89,                0.69066,                0.36239,                0.83955,                0.83033,                0.58644,                0.68001,                0.39908,                 1.1119,                0.55413,                 1.0049,             0.00021471,             0.00021471,             0.00021471
                     90,                0.69583,                0.36418,                0.84238,                0.83281,                0.59171,                 0.6802,                0.39722,                 1.1125,                0.55004,                0.99972,             0.00019821,             0.00019821,             0.00019821
                     91,                0.73673,                0.38399,                0.85567,                0.85858,                0.57972,                0.67735,                0.39863,                 1.1099,                0.54734,                0.99942,              0.0001817,              0.0001817,              0.0001817
                     92,                0.72173,                0.36784,                 0.8525,                0.84172,                0.58221,                0.67741,                0.39827,                 1.1072,                0.55075,                0.99902,              0.0001652,              0.0001652,              0.0001652
                     93,                0.70964,                0.36316,                0.84898,                0.84252,                0.58799,                0.67291,                0.39399,                 1.1171,                0.54935,                 1.0035,              0.0001487,              0.0001487,              0.0001487
                     94,                0.70252,                0.35862,                   0.85,                0.83024,                0.60111,                0.67925,                0.39602,                 1.1109,                0.53962,                0.99969,             0.00013219,             0.00013219,             0.00013219
                     95,                0.69265,                0.35264,                0.84627,                0.82853,                0.61039,                  0.684,                0.40093,                 1.0968,                0.54458,                0.99616,             0.00011569,             0.00011569,             0.00011569
                     96,                0.68817,                0.35132,                0.84436,                0.83954,                0.59917,                0.68853,                 0.4001,                 1.1042,                0.54322,                0.99723,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.68029,                 0.3462,                0.83912,                 0.8444,                0.60884,                0.68766,                0.40209,                 1.0987,                0.54168,                0.99444,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.6773,                0.34685,                0.83553,                 0.8351,                0.61315,                0.69011,                0.40441,                 1.0971,                0.54442,                0.99644,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.66805,                0.34141,                0.84329,                0.83775,                0.60747,                0.68891,                0.40654,                 1.0916,                0.53731,                 0.9949,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.67121,                0.34395,                0.84311,                0.82749,                0.61086,                0.68879,                0.40491,                 1.0973,                0.53714,                 0.9966,             3.3173e-05,             3.3173e-05,             3.3173e-05
